group_name,path
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/0.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/1.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/2.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/3.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/4.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/5.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/6.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/7.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/8.jpg
People playing chess outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_1/9.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/0.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/1.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/2.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/3.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/4.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/5.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/6.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/7.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/8.jpg
People playing checkers outdoors with blurry effect,./data/pairedimagesets/VisDiff-blurred/hard/10_2/9.jpg
