group_name,path
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/0.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/1.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/2.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/3.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/4.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/5.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/6.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/7.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/8.jpg
Tulips in a garden,./data/pairedimagesets/VisDiff/easy/5_1/9.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/0.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/1.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/2.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/3.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/4.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/5.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/6.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/7.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/8.jpg
Roses in a garden,./data/pairedimagesets/VisDiff/easy/5_2/9.jpg
