group_name,path
sketch,./data/imagenetR/styles/sketch/sketch_0.jpg
sketch,./data/imagenetR/styles/sketch/sketch_1.jpg
sketch,./data/imagenetR/styles/sketch/sketch_2.jpg
sketch,./data/imagenetR/styles/sketch/sketch_3.jpg
sketch,./data/imagenetR/styles/sketch/sketch_4.jpg
sketch,./data/imagenetR/styles/sketch/sketch_5.jpg
sketch,./data/imagenetR/styles/sketch/sketch_6.jpg
sketch,./data/imagenetR/styles/sketch/sketch_7.jpg
sketch,./data/imagenetR/styles/sketch/sketch_8.jpg
sketch,./data/imagenetR/styles/sketch/sketch_9.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_0.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_1.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_2.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_3.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_4.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_5.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_6.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_7.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_8.jpg
graffiti,./data/imagenetR/styles/graffiti/graffiti_9.jpg
